name,IC50
Compound 1,6.03
Compound 2,5.21
Compound 3,5.28
Compound 4,5.31
Compound 5,7.25
Compound 6,6.57
Compound 7,6.4
Compound 8,6.34
Compound 9,6.3
Compound 10,7.05
Compound 11,6.8
Compound 12,7.35
Compound 13,7.58
Compound 14,7.52
Compound 15,5.6
Compound 16,6.39
Compound 17,5.77
Compound 18,5.66
Compound 19,7.46
Compound 20,7.72
Compound 21,7.52
Compound 22,7.47
Compound 23,7.42
Compound 24,7.27
Compound 25,7.42
Compound 26,5.77
Compound 27,4.92
Compound 28,6.85
Compound 29,6.09
Compound 30,6.06
Compound 31,6.42
Compound 32,6.34
Compound 33,5.7
Compound 34,6.96
Compound 35,6.92
Compound 36,6.48
Compound 37,6.62
Compound 38,6.55
